image_id	region_id	rel_id	relationship	subject	object	subject_synset	object_synset	relationship_synset	sentence	location	time	event
1	1383	15927	on	shade	street	shade.n.01	street.n.01	along.r.01	shade is along the street 	[]	[]	[]
1	1384	15928	wears	man	sneakers	man.n.01	gym_shoe.n.01	wear.v.01	man is wearing sneakers	[]	[]	[]
1	1385	15929	has	car	headlight	car.n.01	headlight.n.01	have.v.01	cars headlights are off	[]	[]	[]
1	1432	15930	on	sign	building	sign.n.02	building.n.01	along.r.01	A sign on the facade of the building	[]	[]	[]
1	1433	15931	on	tree trunk	sidewalk	trunk.n.01	sidewalk.n.01	along.r.01	A tree trunk on the sidewalk	[]	[]	[]
1	1434	15932	has	man	shirt	man.n.01	shirt.n.01	have.v.01	A man in a red shirt	[]	[]	[]
1	1435	15933	next to	sidewalk	street	sidewalk.n.01	street.n.01	next.r.01	A brick sidewalk beside the street	[]	[]	[]
1	1436	15934	has	car	back	car.n.01	back.n.01	have.v.01	The back of a white car	[]	[]	[]
1	1482	15935	has	man	glasses	man.n.01	spectacles.n.01	have.v.01	a man is wearing glasses	[]	[]	[]
1	1483	15936	on	parking meter	sidewalk	parking_meter.n.01	sidewalk.n.01	along.r.01	a parking meter is on the sidewalk	[]	[]	[]
1	1485	15937	wears	man	sneakers	man.n.01	gym_shoe.n.01	wear.v.01	a man wears grey shoes	[]	[]	[]
1	1486	15938	has	man	shoes	man.n.01	shoe.n.01	have.v.01	a man has brown shoes on 	[]	[]	[('What are the men doing?', 'Interacting.')]
1	1532	15939	has	man	shirt	man.n.01	shirt.n.01	have.v.01	A man dressed in a red shirt and black pants. 	[]	[]	[]
1	1532	15940	wears	man	pants	man.n.01	trouser.n.01	wear.v.01	A man dressed in a red shirt and black pants. 	[]	[]	[]
1	1533	15941	has	man	jacket	man.n.01	jacket.n.01	have.v.01	A man wearing a gray jacket and gray pants. 	[]	[]	[]
1	1533	15942	has	man	pants	man.n.01	trouser.n.01	have.v.01	A man wearing a gray jacket and gray pants. 	[]	[]	[]
1	1534	15943	parked on	bike	sidewalk	bicycle.n.01	sidewalk.n.01	along.r.01	A bicycle parked on the sidewalk.	[]	[]	[]
1	1536	15946	parked on	car	street	car.n.01	street.n.01	along.r.01	A white car parked on the street. 	[]	[]	[]
1	1584	4265923	on	bike	sidewalk	bicycle.n.01	sidewalk.n.01	along.r.01	bicycles on the sidewalk	[]	[]	[]
1	1585	3186256	behind	parking meter	man	parking_meter.n.01	man.n.01	behind.r.01	parking meter on the sidewalk	[]	[]	[]
1	1586	3186257	holding	guy	chin	guy.n.01	chin.n.01	have.v.01	guy holding hand to his chin	"[('Where is the guy holding a hand?', ""To the man's chin."")]"	[]	[]
1	1682	3186258	wearing	man	shirt	man.n.01	shirt.n.01	wear.v.01	man is wearing red tshirt	[]	[]	[]
1	1683	3186259	holding	man	chin	man.n.01	chin.n.01	have.v.01	man is holding his chin	[]	[]	[]
1	1684	3186260	near	bikes	tree	bicycle.n.01	tree.n.01	about.r.07	bikes have been parked near a tree	[]	[]	[]
1	1732	3186261	wearing	man	shoes	man.n.01	shoe.n.01	wear.v.01	man is wearing brown shoes	[]	[]	[]
1	1735	3186262	near	bikes	tree	bicycle.n.01	tree.n.01	about.r.07	bikes are packed near the trees	[]	[]	[]
1	1782	3186263	on	shirt	man	shirt.n.01	man.n.01	along.r.01	man wearing a red shirt	[]	[]	[]
1	1832	4265924	holding	man	chin	man.n.01	chin.n.01	have.v.01	man is holding his chin	[]	[]	[]
